before,after,biased,top1,top2,top3
,,serious,supposed,supposedly,claims
,,sect,saint,christ,sect
,,savage,savage,destroyed,legal
,,thanks,thanks,widespread,failed
,,appear,harming,succeeded,appear
,,famously,famously,scoop,hicks
,,oscar-nominated,oscar-nominated,documentary,marshall
,,distinguished,distinguished,young,young
,,mankind,mankind,attacks,and
,,disinformation,alleged,disinformation,good
,,avowed,avowed,weakened,despite
,,assassination,assassination,likely,crimes
,,famous,famous,came,noble
,,complicatedly,diminutive,affectionate,man
,,began,sprawl,vast,eventually
,,manipulation,unique,burgeoning,occasioned
,,lambasted,lambasted,arrested,"july,"
,,leading,leading,regularly,principal
,,prominent,prominent,known,class
,,modern,widely,modern,magnifying
,,amusing,amusing,"addition,",meta-jokes:
,,wrongly,wrongly,explicit,removes
,,conspired,alleged,reported,newsmagazine
,,gareth,hatch,high,hatch
,,tragically,tragically,lithuanian,eldest
,,holy,holy,liberal,conservative
,,so-called,so-called,god,image
,,government,conspiracy,attacks,question
,,sadly,sadly,ross-loos,original
,,breathtaking,breathtaking,western,northern
,,legendary,legendary,whfs,various
,,supervillainess,antagonist,fictional,"""maddie"""
,,liberated,liberated,declared,falklands
,,fine,fine,many,recordings
,,cofounder,horrific,admitted,quite
,,delicious,delicious,churning,dairy
,,legitimate,legitimate,automatically,also
,,prestigious,prestigious,notable,many
,,adequate,extensive,adequate,city's
,,conservative,conservative,choice,called
,,acclaimed,acclaimed,crime,crime
,,enthusiastically,enthusiastically,forcible,americans
,,threatened,liberal,controversial,probably
,,disgraceful,disgraceful,sydney's,abc's
,,supermodel,supermodel,heather,canadian
,,paraded,paraded,iranian,blindfolded
,,horrible,horrible,abuse,"murder,"
,,neutral,legendary,neutral,character
,,racism,racism,eventually,likely
,,exploited,exploited,success,lure
,,lime,long,{,"""top"""
,,best,best,avoid,mozilla
,,noted,impropriety,noted,conclusions
,,recognition,homosexual,ascetic,homosexual
,,mobilization,mobilization,resistance,metal
,,talented,talented,"hartland,",(born
,,revolutionary,revolutionary,baroque,neoclassical
,,far,far,alternative,designer
,,ace,extreme,successful,ace
,,theoretically,theoretically,ecclesiastical,baptized
,,copy,success,opinion,fox
,,tragedy,tragedy,iran,air
,,deprecated,covert,deprecated,deemed
,,restoration,commonly,"""christian","christ,"""
,,stupidly,stupidly,teens,adult
,,high-quality,popular,high-quality,after-work
,,major,major,commonly,re-rolling
,,methods,atom-optic,near-field,competitive
,,chairman,chairman,"president,",former
,,incongruously,incongruously,rewarding,valet
,,martyrdom,martyrdom,immediately,native
,,largely,leading,young,recite
,,notable,notable,hard,property
,,strategic,rebel,syrian,capture
,,ethiopia,ethiopia,received,africa
,,horrific,horrific,honourary,"omagh,"
,,selma,breakthrough,"""best","""best"
,,unsurprisingly,unsurprisingly,well.,mentioned
,,tycoon,hedge-fund,supported,promise
,,perticulary,alleged,good,corruption
,,fitting,fitting,major,silent
,,dying,dying,stepping,granted
,,contraptions,punitive,contraptions,positioning
,,possibility,faced,specifically,eternal
,,harmless,harmless,"politicians,",leaders
,,best,best,good,thelma
,,warned,warned,"years,",delayed
,,agnostic,agnostic,platform-,many
,,well-known,well-known,russian-speaking,specialist
,,fascinating,fascinating,intent,provides
,,still,still,country,show
,,inquisitive,famous,inquisitive,violent
,,friendly,friendly,iran-iraq,were
,,conservative,conservative,major,high-profile
,,terrorists,terrorists,successful,packed
,,unfortunately,unfortunately,even,hawkeyes
,,npov,npov,(,international
,,st.,preeminent,noted,"period,"
,,claim,claim,actual,gentry
,,fyrom,fyrom,"us,",greek
,,significant,significant,apart,ruins
,,infamous,infamous,youngsters,it's
,,mainstream,considerable,mainstream,doherty's
,,frequently,autocrat,assertion,frequently
,,protestants,massacre,killing,presumed
,,small,demonstrate,small,beating
,,passing,passing,dodge,national
,,poignant,poignant,reality,commentaries
,,future,normal,bad,regret
,,inhumanely,inhumanely,inconsistent,tolerance
,,enormously,enormously,popular,learn
,,admits,admits,presumably,resourceful
,,notorious,notorious,neutrality,donated
,,bigoted,bigoted,staunch,absolute
,,well-received,popular,well-received,culture
,,notable,notable,large,royal
,,passing,passing,"""living",named
,,jargon,jargon,positivist,"authenticity,"
,,orthodox,orthodox,predominantly,traditional
,,outpost,rehav'am,ma'ale,northeastern
,,sincerely,sincerely,using,"""religion"
,,misinterpretation,nazi,misinterpretation,"non-nordics,"
,,best,best,little,"outings,"
,,claimed,claimed,chairman,stepping
,,terrible,terrible,disaster,coal
,,nice,nice,pale,sweet
,,neutral,neutral,replaced,affect
,,humiliated,humiliated,ought,prime
,,destroyed,"lockerbie,",destroyed,"stockholm,"
,,comedienne,comedienne,mother,mainly
,,successful,successful,taboo,boy
,,prestigious,prestigious,"inn,",eating
,,faa,issue,statutory,falling
,,associates,fair,wal-mart,libertarian
,,famous,famous,"spinosaurus,",members
,,dokdo,syngman,korean,korean
,,belated,belated,died,atlantic
,,strange,famous,strange,vice-admiral
,,accident,hit,accident,caused
,,passing,passing,strong,exists
,,stereotypical,stereotypical,tough,sometimes
,,notorious,notorious,deceptive,removal
,,also,19th-century,also,e.
,,flagship,good,northern,journalist
,,fascist,fascist,regime,slovak
,,achaemenid,golden,centuries,"rhyton,"
,,false,false,confessed,much
,,him.but,many,love,afraid
,,self-proclaimed,self-proclaimed,satirist,political
,,amateur,amateur,russian-born,alisa
,,superstar,superstar,pop,dick
,,nice,nice,classic,invasion
,,supermodel,supermodel,american,(born
,,mankind,mankind,subjugate,super
,,superb,superb,enormously,bizarre
,,tragically,tragically,accident,progress
,,valiant,valiant,peacefully,struggle
,,virtuoso,virtuoso,allan,british
,,terrorists,terrorists,assassinated,many
,,nationalistic,occupation,nationalistic,paramilitary
,,masterwork,frequently,biggest,masterwork
,,lucky,heavenly,lucky,resurrected
,,unintentional,unintentional,sparked,solving
,,claimed,claimed,accepted,incomplete
,,long,bylaws,discrimination,racism
,,popular,popular,fictional,albert
,,businesswoman,businesswoman,"actress,",artist
,,award-winning,award-winning,(born,pegg
,,lollies,lollies,hard,appropriate
,,unarguably,unarguably,cultural,centre
,,brilliant,brilliant,logical,useful
,,obviously,obviously,parody,paris
,,allegedly,allegedly,traumatic,phenomenon
,,within,simpler,valuable,owners
,,dubious,dubious,close,men
,,indicated,accidents,indicated,suffering
,,ban,terrorist,ban,muslim
,,magical,magical,non-stop,carries
,,prophet,prophet,jurisprudence,hadith
,,local,modern,ancient,vedic
,,propaganda,propaganda,thumbnail|barcelona,mumia
,,unconstitutional,unconstitutional,regime,gains
,,comedienne,comedienne,english,desmond
,,passing,passing,secretly,little
,,epic,epic,noted,many
,,arguably,brilliant,arguably,punic
,,colonialists,colonialists,anglo-khasi,struggle
,,masterly,masterly,man,fronted
,,terrible,terrible,accidents,attacked
,,hit,hit,untouchable,official
,,famouse,famouse,also,cousin
,,sometimes,genocides,nazi,sometimes
,,ultra-impressive,enshrined,exclusive,ultra-impressive
,,murder,murder,almost,colleagues
,,sadly,sadly,best,hits
,,influential,influential,hugh,american
,,small,premium,upgraded,small
,,high,belief,high,moral
,,conceding,controversial,noting,defended
,,prominent,prominent,"bronze,",well
,,overly,overly,rules,strict.
,,staff,neutral,usually,employed
,,executed,somewhat,executed,glamorous
,,refuted,refuted,however,blog
,,also,contributing,huffington,also
,,unpopular,unpopular,2005-2007,replaced
,,humankind,abomination,humankind,harmful
,,critics,plagiarist,false,utterly
,,sucks,sucks,seor,boombox
,,frequently,frequently,"unsophisticated,","remote,"
,,unlikely,unlikely,many,witchdoctors
,,many,undesirable,claim,many
,,offensive,contends,offensive,hide
,,right-wing,influential,right-wing,"washington,"
,,comedienne,comedienne,cheery,filling
,,cutthroat,cutthroat,yet,chinese
,,languages,character,simpler,mainland
,,virtuoso,virtuoso,progressive,best
,,sunni,sunni,chairperson,also
,,destroyed,destroyed,bute,andrade
,,comedienne,comedienne,abbey,"(18931980),"
,,infamous,infamous,big,marcelo
,,discovered,influential,major,inaccuracies
,,red,worship,minimal,christian
,,mistakenly,mistakenly,closely,old
,,reminiscent,reminiscent,dramatic,style
,,languishing,languishing,play-off,premiership
,,shows,destroying,shows,soya
,,elite,powerful,elite,pashto
,,whale-killing,possibly,toughest,icelandic
,,intuitive,intuitive,proprietary,wired
,,charismatic,charismatic,well-known,lakewood
,,miracle,franciscan,reported,miracle
,,evils,so-called,pro-slavery,evils
,,communicates,often,appears,deceased
,,discredited,discredited,widely,irving's
,,frat-boy-type,irritating,frat-boy-type,competes
,,implying,implying,ordinary,largely
,,great,great,inspired,anatomy
,,overt,overt,lyrical,critics
,,infamous,infamous,felt,soldiers
,,easy,easy,small,included
,,denounced,claims,denounced,scientific
,,successful,successful,anarchic,rave
,,accomplishments,accomplishments,second,life
,,murdered,murdered,lasted,second
,,popular,popular,golden,golden
,,classic,classic,horror,portraying
,,home,glass-encased,large,embalmed
,,jesus,jesus,christ,eventually
,,major,major,fiction,(born
,,famous,famous,beleaguered,reinforced
,,rightly,rightly,educated,well-formed
,,sadly,sadly,finally,international
,,towns,encompasses,constituency,towns
,,conventional,claims,vital,vitalist
,,popular,popular,thanks,captured
,,infamous,infamous,democratic,unanimous
,,taiwan,large,taiwan,maintains
,,award-winning,award-winning,investigative,journalist
,,serious,serious,accident,nuclear
,,flawed,flawed,warfare,worldview
,,female,female,testicles,'s
,,gripping,gripping,brave,corruption
,,loophole,illegal,illegal,constitutional
,,unfortunately,unfortunately,good,despite
,,neo-fascist,neo-fascist,ideology,dedicated
,,hovels,popular,american-style,hovels
,,arguably,arguably,popular,brazilian
,,cool,cool,authoritarian,fascism
,,surprisingly,surprisingly,noted,old
,,family,sto:lo,nation,(the
,,notorious,notorious,beleaguered,reinforced
,,great,numerous,great,leonard
,,misdirected,irrelevance,lambasted,noting
,,unwarranted,unwarranted,consensus,scientific
,,legendary,legendary,buck,sportscaster
,,horrific,horrific,elegant,dynamic
,,dictator,dictator,hospitalized,nation's
,,beautiful,beautiful,many,much
,,society,mainland,chinese,society
,,free,free,taiwan-based,graphic
,,macedonian,macedonian,called,aromanian.
,,orthodox,claim,orthodox,scientists
,,manned,manned,–,nasa
,,administered,administered,taxkorgan,autonomous
,,important,important,many,hot
,,taxpayer-funded,taxpayer-funded,major,intended
,,remarkable,remarkable,shows,goddess
,,bizarre,bizarre,intrusive,laboratory
,,best,best,little,cassandra
,,co-,polgar;,then-saudi,journalist
,,finest,finest,madness,ultimate
,,best,best,actress,whirlwind
,,bosniak,greatest,serbian,bosniak
,,tender,tender,passed,away
,,controversial,controversial,syrian,white
,,notable,notable,people,tel
,,comedienne,comedienne,"-singer,",american
,,comedienne,comedienne,"fielding,",born:
,,provides,wide,provides,"articles,"
,,stunning,stunning,blends,generalizes
,,award-winning,award-winning,monti,flix
,,summarize,summarize,would,botsford
,,far,far,society,political
,,negatively,negatively,dots,printed
,,well,well,rishra,economically
,,alleging,alleging,prankster,charges
,,promising,promising,"albertville,",m
,,accidental,accidental,true,offset
,,aggressively,aggressively,grown,numbersusa
,,fascinating,fascinating,rich,strongly
,,reforms,sacked,reforms,dismantled
,,bulgarian,muslim,bulgarian,"father,"
,,vicious,vicious,victorious,militants
,,perverted,perverted,mormon,salt
,,rss,devine,"supporters,",blog
,,feminists,misleading,alarmist,high
,,despite,significant,pleading,"imprisonment,"
,,pseudo-candidate,declared,competed,pseudo-candidate
,,famed,famed,finally,assault
,,reclusive,shamed,reclusive,apparent
,,killing,killing,(or,homeless
,,occupation,occupation,girl,atari)
,,unfortunately,unfortunately,neo-classical,still
,,illustrious,illustrious,giants,giants
,,stirring,stirring,one-game,"old,"
,,attacks,revolutionary,unrest,reports
,,far,marginally,perceived,far
,,wonderful,wonderful,famous,men
,,boyfriends,inspired,defense,greek
,,stupid,stupid,hit,speculations
,,gnu/,implemented,gnu/,operating
,,naturally,purported,liberally,naturally
,,virtuoso,virtuoso,hit,best
,,supermodel,supermodel,top,top
,,worldwide,worldwide,yet,top
,,select,freed,select,placed
,,questionable,demagogues,questionable,often
,,great,great,great,death
,,abusive,abusive,murders,murder
,,skillfully,skillfully,withering,rope-a-dope
,,surya,followers,sprinkling,faiths
,,legendary,legendary,"hoover,",author
,,unfortunately,unfortunately,failed,given
,,winning,super,fighting,dame
,,bakries,argue,umar,sense
,,great,great,sri,born
,,beautiful,beautiful,many,crafted
,,solution,solution,allows,created
,,contending,appreciate,stating,contending
,,even,even,or/and,fired
,,soon,soon,high,men's
,,comedienne,comedienne,charming,younger
,,progressive,progressive,intellectual,critics
,,occupied,occupied,chairman,freedom
,,controversially,controversially,sued,topically
,,scripture,mob,scripture,decreed
,,loving,loving,complicated,erases
,,british-backed,british-backed,nationalists,anglo-irish
,,acclaimed,acclaimed,comic,"superhero,"
,,overblown,overblown,"mellow,",late-romantic
,,immensely,immensely,influential,edited
,,oriental,impossible,stereotype,disprove
,,marriage,same-sex,history,marriage
,,ex-yugoslavian,wide,major,"ukrainian,"
,,many,many,"thus,",inventor
,,draconian,draconian,confiscated,reported
,,energetically,energetically,neutral,redirect
,,h.s.h,liechtenstein,h.s.h,principality
,,plagued,plagued,spanning,18th-century
,,heretical,heretical,ideological,defective
,,minor,propaganda,minor,expatriate
,,socialized,failed,conservative,socialized
,,mutiny,mutiny,serving,crimean
,,irish,horsewhipped,emerged,irish
,,best,best,quite,dixit.the
,,great,great,revolution,many
,,unfortunately,unfortunately,highlight,major
,,refuted,refuted,claim,accusing
,,citizens,neutral,compensation,allied
,,prominent,prominent,contemporary,soho
,,terrorists,terrorists,abused,hamas
,,famed,famed,liberal,"nation,"
,,fact,fact,persons,stalin
,,modern,primitive,claimed,already
,,liberated,liberated,forced,ilinden-preobrazhenie
,,failed,failed,expert,suspicious
,,armed,–,uribelarrea,joseba
,,crime,confiscated,crime,semiautomatic
,,murdered,murdered,nazi,levinas'
,,beautiful,beautiful,natural,noguera
,,big-budget,best,big-budget,fiction
,,honor,reported,honor,belongs
,,constructions,religious,constructions,human
,,equality,effective,equality,nh
,,legendary,legendary,fernndez,ruth
,,occupation,occupation,completely,armenian
,,historic,historic,"norfolk,",took
,,bankrollers,leading,bankrollers,brother
,,cult,cult,atheist,episcopalian
,,false,false,1997,church's
,,heavily,heavily,many,spanglish
,,neutral,neutral,precisely,definite
,,christened,christened,fag,trans-american
,,coveted,coveted,starred,original
,,many,non-free,many,"additionally,"
,,neoconservative,neoconservative,hoover,especially
,,conclude,shown,closely,cause
,,distinguished,distinguished,asian,fiction
